"team","score","event","ranking","eventname"
"Misfits Gaming",390,3,8,"fall_reg3"
"00 Nation DNB",330,3,9,"fall_reg3"
"Moist Esports",330,3,10,"fall_reg3"
"Williams Resolve",330,3,11,"fall_reg3"
"Heroic",300,3,12,"fall_reg3"
"Luminosity Gaming",260,3,13,"fall_reg3"
"FC Barcelona",220,3,14,"fall_reg3"
"Vodafone Giants",210,3,15,"fall_reg3"
"Natus Vincere",110,3,16,"fall_reg3"
"The Bricks",110,3,17,"fall_reg3"
"Guild Esports",70,3,18,"fall_reg3"
"Aogiri",0,3,19,"fall_reg3"
"BS+COMPETITION",0,3,20,"fall_reg3"
"GROS NOOBZ",0,3,21,"fall_reg3"
"Juicers",0,3,22,"fall_reg3"
"Rix.GG",0,3,23,"fall_reg3"
"SK Gaming",0,3,24,"fall_reg3"
"Solary",0,3,25,"fall_reg3"
"Stormtroopers",0,3,26,"fall_reg3"
"Team Liquid",0,3,27,"fall_reg3"
"Team Singularity",0,3,28,"fall_reg3"
"Wolves Esports",0,3,29,"fall_reg3"
"WYLDE",0,3,30,"fall_reg3"
"Team BDS",1251,4,1,"fall_maj"
"Endpoint CeX",1012,4,2,"fall_maj"
"Dignitas",1001,4,3,"fall_maj"
"SMPR Esports",950,4,4,"fall_maj"
"Team Vitality",580,4,5,"fall_maj"
"Evil Geniuses",410,4,6,"fall_maj"
"Karmine Corp",390,4,7,"fall_maj"
"Misfits Gaming",390,4,8,"fall_maj"
"00 Nation DNB",330,4,9,"fall_maj"
"Moist Esports",330,4,10,"fall_maj"
"Williams Resolve",330,4,11,"fall_maj"
"Heroic",300,4,12,"fall_maj"
"Luminosity Gaming",260,4,13,"fall_maj"
"FC Barcelona",220,4,14,"fall_maj"
"Vodafone Giants",210,4,15,"fall_maj"
"Natus Vincere",110,4,16,"fall_maj"
"The Bricks",110,4,17,"fall_maj"
"Guild Esports",70,4,18,"fall_maj"
"Aogiri",0,4,19,"fall_maj"
"BS+COMPETITION",0,4,20,"fall_maj"
"GROS NOOBZ",0,4,21,"fall_maj"
"Juicers",0,4,22,"fall_maj"
"Rix.GG",0,4,23,"fall_maj"
"SK Gaming",0,4,24,"fall_maj"
"Solary",0,4,25,"fall_maj"
"Stormtroopers",0,4,26,"fall_maj"
"Team Liquid",0,4,27,"fall_maj"
"Team Singularity",0,4,28,"fall_maj"
"Wolves Esports",0,4,29,"fall_maj"
"WYLDE",0,4,30,"fall_maj"
"Team BDS",1511,5,1,"win_reg1"
"Dignitas",1301,5,2,"win_reg1"
"Endpoint CeX",1232,5,3,"win_reg1"
"SMPR Esports",1060,5,4,"win_reg1"
"Team Vitality",770,5,5,"win_reg1"
"Moist Esports",681,5,6,"win_reg1"
"Karmine Corp",550,5,7,"win_reg1"
"Evil Geniuses",520,5,8,"win_reg1"
"Williams Resolve",520,5,9,"win_reg1"
"Misfits Gaming",500,5,10,"win_reg1"
"00 Nation DNB",390,5,11,"win_reg1"
"Luminosity Gaming",370,5,12,"win_reg1"
"Heroic",300,5,13,"win_reg1"
"Natus Vincere",170,5,14,"win_reg1"
"The Bricks",170,5,15,"win_reg1"
"Team Singularity",160,5,16,"win_reg1"
"Guild Esports",70,5,17,"win_reg1"
"Rix.GG",60,5,18,"win_reg1"
"Aogiri",0,5,19,"win_reg1"
"BS+COMPETITION",0,5,20,"win_reg1"
"FC Barcelona",0,5,21,"win_reg1"
"GROS NOOBZ",0,5,22,"win_reg1"
"Juicers",0,5,23,"win_reg1"
"SK Gaming",0,5,24,"win_reg1"
"Solary",0,5,25,"win_reg1"
"Stormtroopers",0,5,26,"win_reg1"
"Team Liquid",0,5,27,"win_reg1"
"Wolves Esports",0,5,28,"win_reg1"
"WYLDE",0,5,29,"win_reg1"
"Vodafone Giants",-10,5,30,"win_reg1"
"Team BDS",1862,6,1,"win_reg2"
"Dignitas",1491,6,2,"win_reg2"
"Endpoint CeX",1342,6,3,"win_reg2"
"SMPR Esports",1170,6,4,"win_reg2"
"Moist Esports",981,6,5,"win_reg2"
"Team Vitality",830,6,6,"win_reg2"
"Evil Geniuses",780,6,7,"win_reg2"
"Misfits Gaming",720,6,8,"win_reg2"
"Karmine Corp",660,6,9,"win_reg2"
"Williams Resolve",580,6,10,"win_reg2"
"00 Nation DNB",550,6,11,"win_reg2"
"Luminosity Gaming",530,6,12,"win_reg2"
"Heroic",300,6,13,"win_reg2"
"Natus Vincere",280,6,14,"win_reg2"
"Guild Esports",260,6,15,"win_reg2"
"The Bricks",230,6,16,"win_reg2"
"Team Singularity",160,6,17,"win_reg2"
"Rix.GG",60,6,18,"win_reg2"
"Stormtroopers",60,6,19,"win_reg2"
"Aogiri",0,6,20,"win_reg2"
"BS+COMPETITION",0,6,21,"win_reg2"
"FC Barcelona",0,6,22,"win_reg2"
"GROS NOOBZ",0,6,23,"win_reg2"
"Juicers",0,6,24,"win_reg2"
"SK Gaming",0,6,25,"win_reg2"
"Solary",0,6,26,"win_reg2"
"Team Liquid",0,6,27,"win_reg2"
"Wolves Esports",0,6,28,"win_reg2"
"WYLDE",0,6,29,"win_reg2"
"Vodafone Giants",-10,6,30,"win_reg2"
"Team BDS",1972,7,1,"win_reg3"
"Dignitas",1751,7,2,"win_reg3"
"Endpoint CeX",1642,7,3,"win_reg3"
"Moist Esports",1332,7,4,"win_reg3"
"SMPR Esports",1280,7,5,"win_reg3"
"Evil Geniuses",1000,7,6,"win_reg3"
"Team Vitality",890,7,7,"win_reg3"
"Karmine Corp",820,7,8,"win_reg3"
"Misfits Gaming",780,7,9,"win_reg3"
"00 Nation DNB",740,7,10,"win_reg3"
"Luminosity Gaming",720,7,11,"win_reg3"
"Williams Resolve",690,7,12,"win_reg3"
"Guild Esports",420,7,13,"win_reg3"
"Natus Vincere",340,7,14,"win_reg3"
"The Bricks",340,7,15,"win_reg3"
"Heroic",300,7,16,"win_reg3"
"Team Singularity",160,7,17,"win_reg3"
"Rix.GG",120,7,18,"win_reg3"
"Stormtroopers",60,7,19,"win_reg3"
"Aogiri",0,7,20,"win_reg3"
"BS+COMPETITION",0,7,21,"win_reg3"
"FC Barcelona",0,7,22,"win_reg3"
"GROS NOOBZ",0,7,23,"win_reg3"
"Juicers",0,7,24,"win_reg3"
"SK Gaming",0,7,25,"win_reg3"
"Solary",0,7,26,"win_reg3"
"Team Liquid",0,7,27,"win_reg3"
"Wolves Esports",0,7,28,"win_reg3"
"WYLDE",0,7,29,"win_reg3"
"Vodafone Giants",-10,7,30,"win_reg3"
"Team BDS",2292,8,1,"win_maj"
"Dignitas",1971,8,2,"win_maj"
"Moist Esports",1932,8,3,"win_maj"
"Endpoint CeX",1862,8,4,"win_maj"
"Evil Geniuses",1320,8,5,"win_maj"
"SMPR Esports",1280,8,6,"win_maj"
"Team Vitality",890,8,7,"win_maj"
"Karmine Corp",820,8,8,"win_maj"
"Misfits Gaming",780,8,9,"win_maj"
"00 Nation DNB",740,8,10,"win_maj"
"Luminosity Gaming",720,8,11,"win_maj"
"Williams Resolve",690,8,12,"win_maj"
"Guild Esports",420,8,13,"win_maj"
"Natus Vincere",340,8,14,"win_maj"
"The Bricks",340,8,15,"win_maj"
"Heroic",300,8,16,"win_maj"
"Team Singularity",160,8,17,"win_maj"
"Rix.GG",120,8,18,"win_maj"
"Stormtroopers",60,8,19,"win_maj"
"Aogiri",0,8,20,"win_maj"
"BS+COMPETITION",0,8,21,"win_maj"
"FC Barcelona",0,8,22,"win_maj"
"GROS NOOBZ",0,8,23,"win_maj"
"Juicers",0,8,24,"win_maj"
"SK Gaming",0,8,25,"win_maj"
"Solary",0,8,26,"win_maj"
"Team Liquid",0,8,27,"win_maj"
"Wolves Esports",0,8,28,"win_maj"
"WYLDE",0,8,29,"win_maj"
"Vodafone Giants",-10,8,30,"win_maj"
"Team BDS",2693,9,1,"spr_reg1"
"Moist Esports",2282,9,2,"spr_reg1"
"Dignitas",2101,9,3,"spr_reg1"
"Endpoint CeX",1992,9,4,"spr_reg1"
"SMPR Esports",1460,9,5,"spr_reg1"
"Evil Geniuses",1400,9,6,"spr_reg1"
"Team Vitality",1140,9,7,"spr_reg1"
"Karmine Corp",1030,9,8,"spr_reg1"
"Misfits Gaming",990,9,9,"spr_reg1"
"Luminosity Gaming",850,9,10,"spr_reg1"
"00 Nation DNB",740,9,11,"spr_reg1"
"Williams Resolve",690,9,12,"spr_reg1"
"Guild Esports",420,9,13,"spr_reg1"
"Natus Vincere",340,9,14,"spr_reg1"
"The Bricks",340,9,15,"spr_reg1"
"Heroic",300,9,16,"spr_reg1"
"Solary",300,9,17,"spr_reg1"
"Team Liquid",180,9,18,"spr_reg1"
"Team Singularity",160,9,19,"spr_reg1"
"Wolves Esports",130,9,20,"spr_reg1"
"BS+COMPETITION",80,9,21,"spr_reg1"
"SK Gaming",80,9,22,"spr_reg1"
"WYLDE",80,9,23,"spr_reg1"
"Aogiri",0,9,24,"spr_reg1"
"FC Barcelona",0,9,25,"spr_reg1"
"GROS NOOBZ",0,9,26,"spr_reg1"
"Juicers",0,9,27,"spr_reg1"
"Rix.GG",0,9,28,"spr_reg1"
"Stormtroopers",0,9,29,"spr_reg1"
"Vodafone Giants",-10,9,30,"spr_reg1"
"Team BDS",3094,10,1,"spr_reg2"
"Moist Esports",2532,10,2,"spr_reg2"
"Dignitas",2231,10,3,"spr_reg2"
"Endpoint CeX",2202,10,4,"spr_reg2"
"SMPR Esports",1640,10,5,"spr_reg2"
"Evil Geniuses",1530,10,6,"spr_reg2"
"Karmine Corp",1330,10,7,"spr_reg2"
"Team Vitality",1270,10,8,"spr_reg2"
"Misfits Gaming",1070,10,9,"spr_reg2"
"Luminosity Gaming",1030,10,10,"spr_reg2"
"00 Nation DNB",820,10,11,"spr_reg2"
"Williams Resolve",690,10,12,"spr_reg2"
"Guild Esports",630,10,13,"spr_reg2"
"Team Liquid",530,10,14,"spr_reg2"
"Solary",430,10,15,"spr_reg2"
"Natus Vincere",420,10,16,"spr_reg2"
"The Bricks",340,10,17,"spr_reg2"
"Heroic",300,10,18,"spr_reg2"
"Team Singularity",160,10,19,"spr_reg2"
"Wolves Esports",130,10,20,"spr_reg2"
"Aogiri",80,10,21,"spr_reg2"
"BS+COMPETITION",80,10,22,"spr_reg2"
"SK Gaming",80,10,23,"spr_reg2"
"WYLDE",80,10,24,"spr_reg2"
"FC Barcelona",0,10,25,"spr_reg2"
"GROS NOOBZ",0,10,26,"spr_reg2"
"Juicers",0,10,27,"spr_reg2"
"Rix.GG",0,10,28,"spr_reg2"
"Stormtroopers",0,10,29,"spr_reg2"
"Vodafone Giants",-10,10,30,"spr_reg2"
"Team BDS",3444,11,1,"spr_reg3"
"Moist Esports",2933,11,2,"spr_reg3"
"Endpoint CeX",2502,11,3,"spr_reg3"
"Dignitas",2441,11,4,"spr_reg3"
"SMPR Esports",1770,11,5,"spr_reg3"
"Evil Geniuses",1740,11,6,"spr_reg3"
"Karmine Corp",1510,11,7,"spr_reg3"
"Team Vitality",1400,11,8,"spr_reg3"
"Luminosity Gaming",1210,11,9,"spr_reg3"
"Misfits Gaming",1150,11,10,"spr_reg3"
"00 Nation DNB",820,11,11,"spr_reg3"
"Team Liquid",780,11,12,"spr_reg3"
"Guild Esports",760,11,13,"spr_reg3"
"Williams Resolve",690,11,14,"spr_reg3"
"Solary",560,11,15,"spr_reg3"
"Natus Vincere",420,11,16,"spr_reg3"
"Aogiri",160,11,17,"spr_reg3"
"Wolves Esports",130,11,18,"spr_reg3"
"BS+COMPETITION",80,11,19,"spr_reg3"
"GROS NOOBZ",80,11,20,"spr_reg3"
"Juicers",80,11,21,"spr_reg3"
"SK Gaming",80,11,22,"spr_reg3"
"WYLDE",80,11,23,"spr_reg3"
"FC Barcelona",0,11,24,"spr_reg3"
"Heroic",0,11,25,"spr_reg3"
"Rix.GG",0,11,26,"spr_reg3"
"Stormtroopers",0,11,27,"spr_reg3"
"Team Singularity",0,11,28,"spr_reg3"
"The Bricks",0,11,29,"spr_reg3"
"Vodafone Giants",-10,11,30,"spr_reg3"
"Moist Esports",3734,12,1,"spr_maj"
"Team BDS",3604,12,2,"spr_maj"
"Endpoint CeX",2662,12,3,"spr_maj"
"Dignitas",2441,12,4,"spr_maj"
"Karmine Corp",2010,12,5,"spr_maj"
"SMPR Esports",1770,12,6,"spr_maj"
"Evil Geniuses",1740,12,7,"spr_maj"
"Team Vitality",1400,12,8,"spr_maj"
"Luminosity Gaming",1210,12,9,"spr_maj"
"Misfits Gaming",1150,12,10,"spr_maj"
"Team Liquid",1140,12,11,"spr_maj"
"00 Nation DNB",820,12,12,"spr_maj"
"Guild Esports",760,12,13,"spr_maj"
"Williams Resolve",690,12,14,"spr_maj"
"Solary",560,12,15,"spr_maj"
"Natus Vincere",420,12,16,"spr_maj"
"Aogiri",160,12,17,"spr_maj"
"Wolves Esports",130,12,18,"spr_maj"
"BS+COMPETITION",80,12,19,"spr_maj"
"GROS NOOBZ",80,12,20,"spr_maj"
"Juicers",80,12,21,"spr_maj"
"SK Gaming",80,12,22,"spr_maj"
"WYLDE",80,12,23,"spr_maj"
"FC Barcelona",0,12,24,"spr_maj"
"Heroic",0,12,25,"spr_maj"
"Rix.GG",0,12,26,"spr_maj"
"Stormtroopers",0,12,27,"spr_maj"
"Team Singularity",0,12,28,"spr_maj"
"The Bricks",0,12,29,"spr_maj"
"Vodafone Giants",-10,12,30,"spr_maj"
