"team","eventname","score_change","score","event","ranking","region"
"Dark Rift Esports","fall_reg3",0,0,3,23,"apacs"
"Dark Rift Esports","fall_maj",0,0,4,20,"apacs"
"Dark Rift Esports","win_reg1",0,0,5,23,"apacs"
"Dark Rift Esports","win_reg2",0,0,6,24,"apacs"
"Dark Rift Esports","win_reg3",0,0,7,25,"apacs"
"Dark Rift Esports","win_maj",0,0,8,20,"apacs"
"Dark Rift Esports","spr_reg1",80,80,9,16,"apacs"
"Dark Rift Esports","spr_reg2",130,210,10,13,"apacs"
"Dark Rift Esports","spr_reg3",80,290,11,13,"apacs"
"Dark Rift Esports","spr_maj",0,290,12,13,"apacs"
"Exodus","fall_reg1",0,0,1,25,"apacs"
"Exodus","fall_reg2",0,0,2,24,"apacs"
"Exodus","fall_reg3",0,0,3,25,"apacs"
"Exodus","fall_maj",0,0,4,25,"apacs"
"Exodus","win_reg1",0,0,5,29,"apacs"
"Exodus","win_reg2",0,0,6,30,"apacs"
"Exodus","win_reg3",0,0,7,32,"apacs"
"Exodus","win_maj",0,0,8,28,"apacs"
"Exodus","spr_reg1",0,0,9,32,"apacs"
"Exodus","spr_reg2",80,80,10,18,"apacs"
"Exodus","spr_reg3",80,160,11,17,"apacs"
"Exodus","spr_maj",0,160,12,17,"apacs"
"LeftOvers","fall_reg1",0,0,1,31,"apacs"
"LeftOvers","fall_reg2",0,0,2,30,"apacs"
"LeftOvers","fall_reg3",0,0,3,31,"apacs"
"LeftOvers","fall_maj",0,0,4,31,"apacs"
"LeftOvers","win_reg1",0,0,5,34,"apacs"
"LeftOvers","win_reg2",0,0,6,35,"apacs"
"LeftOvers","win_reg3",0,0,7,38,"apacs"
"LeftOvers","win_maj",0,0,8,34,"apacs"
"LeftOvers","spr_reg1",80,80,9,18,"apacs"
"LeftOvers","spr_reg2",80,160,10,16,"apacs"
"LeftOvers","spr_reg3",80,240,11,14,"apacs"
"LeftOvers","spr_maj",0,240,12,14,"apacs"
"NHK","fall_reg1",0,0,1,33,"apacs"
"NHK","fall_reg2",0,0,2,32,"apacs"
"NHK","fall_reg3",0,0,3,33,"apacs"
"NHK","fall_maj",0,0,4,33,"apacs"
"NHK","win_reg1",0,0,5,35,"apacs"
"NHK","win_reg2",0,0,6,36,"apacs"
"NHK","win_reg3",0,0,7,39,"apacs"
"NHK","win_maj",0,0,8,36,"apacs"
"NHK","spr_reg1",0,0,9,37,"apacs"
"NHK","spr_reg2",0,0,10,35,"apacs"
"NHK","spr_reg3",80,80,11,20,"apacs"
"NHK","spr_maj",0,80,12,20,"apacs"
"1NE eSports","fall_reg1",200,200,1,3,"apacs"
"1NE eSports","fall_reg2",200,400,2,3,"apacs"
"1NE eSports","fall_reg3",200,600,3,3,"apacs"
"1NE eSports","fall_maj",0,600,4,3,"apacs"
"1NE eSports","win_reg1",-600,0,5,19,"apacs"
"1NE eSports","win_reg2",0,0,6,19,"apacs"
"1NE eSports","win_reg3",0,0,7,20,"apacs"
"1NE eSports","win_maj",0,0,8,15,"apacs"
"1NE eSports","spr_reg1",0,0,9,21,"apacs"
"1NE eSports","spr_reg2",0,0,10,21,"apacs"
"1NE eSports","spr_reg3",0,0,11,22,"apacs"
"1NE eSports","spr_maj",0,0,12,22,"apacs"
"Broerm","fall_reg1",0,0,1,19,"apacs"
"Broerm","fall_reg2",0,0,2,19,"apacs"
"Broerm","fall_reg3",40,40,3,20,"apacs"
"Broerm","fall_maj",0,40,4,17,"apacs"
"Broerm","win_reg1",-40,0,5,22,"apacs"
"Broerm","win_reg2",0,0,6,22,"apacs"
"Broerm","win_reg3",0,0,7,22,"apacs"
"Broerm","win_maj",0,0,8,17,"apacs"
"Broerm","spr_reg1",0,0,9,22,"apacs"
"Broerm","spr_reg2",0,0,10,22,"apacs"
"Broerm","spr_reg3",0,0,11,23,"apacs"
"Broerm","spr_maj",0,0,12,23,"apacs"
"Clovarity Esports","fall_reg1",0,0,1,20,"apacs"
"Clovarity Esports","fall_reg2",0,0,2,20,"apacs"
"Clovarity Esports","fall_reg3",150,150,3,13,"apacs"
"Clovarity Esports","fall_maj",0,150,4,11,"apacs"
"Clovarity Esports","win_reg1",60,210,5,10,"apacs"
"Clovarity Esports","win_reg2",60,270,6,11,"apacs"
"Clovarity Esports","win_reg3",-270,0,7,23,"apacs"
"Clovarity Esports","win_maj",0,0,8,18,"apacs"
"Clovarity Esports","spr_reg1",0,0,9,23,"apacs"
"Clovarity Esports","spr_reg2",0,0,10,23,"apacs"
"Clovarity Esports","spr_reg3",0,0,11,24,"apacs"
"Clovarity Esports","spr_maj",0,0,12,24,"apacs"
"Danquo","fall_reg1",150,150,1,6,"apacs"
"Danquo","fall_reg2",150,300,2,6,"apacs"
"Danquo","fall_reg3",200,500,3,5,"apacs"
"Danquo","fall_maj",0,500,4,5,"apacs"
"Danquo","win_reg1",60,560,5,5,"apacs"
"Danquo","win_reg2",-560,0,6,23,"apacs"
"Danquo","win_reg3",0,0,7,24,"apacs"
"Danquo","win_maj",0,0,8,19,"apacs"
"Danquo","spr_reg1",0,0,9,24,"apacs"
"Danquo","spr_reg2",0,0,10,24,"apacs"
"Danquo","spr_reg3",0,0,11,25,"apacs"
"Danquo","spr_maj",0,0,12,25,"apacs"
"Disconnected Esports","fall_reg1",150,150,1,7,"apacs"
"Disconnected Esports","fall_reg2",150,300,2,7,"apacs"
"Disconnected Esports","fall_reg3",250,550,3,4,"apacs"
"Disconnected Esports","fall_maj",0,550,4,4,"apacs"
"Disconnected Esports","win_reg1",-550,0,5,24,"apacs"
"Disconnected Esports","win_reg2",0,0,6,25,"apacs"
"Disconnected Esports","win_reg3",0,0,7,26,"apacs"
"Disconnected Esports","win_maj",0,0,8,21,"apacs"
"Disconnected Esports","spr_reg1",0,0,9,25,"apacs"
"Disconnected Esports","spr_reg2",0,0,10,25,"apacs"
"Disconnected Esports","spr_reg3",0,0,11,26,"apacs"
"Disconnected Esports","spr_maj",0,0,12,26,"apacs"
"Etern4l","fall_reg1",0,0,1,22,"apacs"
"Etern4l","fall_reg2",70,70,2,15,"apacs"
"Etern4l","fall_reg3",0,70,3,17,"apacs"
"Etern4l","fall_maj",-70,0,4,21,"apacs"
"Etern4l","win_reg1",0,0,5,25,"apacs"
"Etern4l","win_reg2",0,0,6,26,"apacs"
"Etern4l","win_reg3",0,0,7,27,"apacs"
"Etern4l","win_maj",0,0,8,22,"apacs"
"Etern4l","spr_reg1",0,0,9,26,"apacs"
"Etern4l","spr_reg2",0,0,10,26,"apacs"
"Etern4l","spr_reg3",0,0,11,27,"apacs"
"Etern4l","spr_maj",0,0,12,27,"apacs"
"Ex-Friendly Fire Esports","fall_reg1",0,0,1,23,"apacs"
"Ex-Friendly Fire Esports","fall_reg2",0,0,2,22,"apacs"
"Ex-Friendly Fire Esports","fall_reg3",70,70,3,18,"apacs"
"Ex-Friendly Fire Esports","fall_maj",0,70,4,15,"apacs"
"Ex-Friendly Fire Esports","win_reg1",0,70,5,16,"apacs"
"Ex-Friendly Fire Esports","win_reg2",110,180,6,14,"apacs"
"Ex-Friendly Fire Esports","win_reg3",110,290,7,11,"apacs"
"Ex-Friendly Fire Esports","win_maj",-110,180,8,10,"apacs"
"Ex-Friendly Fire Esports","spr_reg1",0,180,9,13,"apacs"
"Ex-Friendly Fire Esports","spr_reg2",0,180,10,14,"apacs"
"Ex-Friendly Fire Esports","spr_reg3",0,180,11,16,"apacs"
"Ex-Friendly Fire Esports","spr_maj",0,180,12,16,"apacs"
"Ex-Frost Esports","fall_reg1",200,200,1,4,"apacs"
"Ex-Frost Esports","fall_reg2",150,350,2,4,"apacs"
"Ex-Frost Esports","fall_reg3",150,500,3,6,"apacs"
"Ex-Frost Esports","fall_maj",-500,0,4,22,"apacs"
"Ex-Frost Esports","win_reg1",0,0,5,26,"apacs"
"Ex-Frost Esports","win_reg2",0,0,6,27,"apacs"
"Ex-Frost Esports","win_reg3",0,0,7,28,"apacs"
"Ex-Frost Esports","win_maj",0,0,8,23,"apacs"
"Ex-Frost Esports","spr_reg1",0,0,9,27,"apacs"
"Ex-Frost Esports","spr_reg2",0,0,10,27,"apacs"
"Ex-Frost Esports","spr_reg3",0,0,11,28,"apacs"
"Ex-Frost Esports","spr_maj",0,0,12,28,"apacs"
"Ex-Frost Esports 2","fall_reg1",110,110,1,9,"apacs"
"Ex-Frost Esports 2","fall_reg2",110,220,2,10,"apacs"
"Ex-Frost Esports 2","fall_reg3",110,330,3,10,"apacs"
"Ex-Frost Esports 2","fall_maj",0,330,4,9,"apacs"
"Ex-Frost Esports 2","win_reg1",110,440,5,7,"apacs"
"Ex-Frost Esports 2","win_reg2",110,550,6,6,"apacs"
"Ex-Frost Esports 2","win_reg3",-550,0,7,29,"apacs"
"Ex-Frost Esports 2","win_maj",0,0,8,24,"apacs"
"Ex-Frost Esports 2","spr_reg1",0,0,9,28,"apacs"
"Ex-Frost Esports 2","spr_reg2",0,0,10,28,"apacs"
"Ex-Frost Esports 2","spr_reg3",0,0,11,29,"apacs"
"Ex-Frost Esports 2","spr_maj",0,0,12,29,"apacs"
"Ex-Frost Esports 3","fall_reg1",0,0,1,24,"apacs"
"Ex-Frost Esports 3","fall_reg2",0,0,2,23,"apacs"
"Ex-Frost Esports 3","fall_reg3",0,0,3,24,"apacs"
"Ex-Frost Esports 3","fall_maj",0,0,4,23,"apacs"
"Ex-Frost Esports 3","win_reg1",110,110,5,14,"apacs"
"Ex-Frost Esports 3","win_reg2",160,270,6,12,"apacs"
