"team","eventname","score_change","score","event","ranking","region","season"
"Placeholders","fall_open",9,9,1,4,"oce","2021-2022"
"Bandits ESC","fall_open",6,6,1,5,"oce","2021-2022"
"gremlins","fall_open",6,6,1,6,"oce","2021-2022"
"PWR","fall_open",6,6,1,7,"oce","2021-2022"
"Zawoo","fall_open",6,6,1,8,"oce","2021-2022"
"Dire Wolves","fall_open",4,4,1,9,"oce","2021-2022"
"Kraken ESC","fall_open",4,4,1,10,"oce","2021-2022"
"Tre Cani","fall_open",4,4,1,11,"oce","2021-2022"
"Lerkers","fall_open",3,3,1,14,"oce","2021-2022"
"Cowabunga","fall_open",3,3,1,12,"oce","2021-2022"
"Dubbo Demons","fall_open",3,3,1,13,"oce","2021-2022"
"Flying Kangaroos","fall_open",2,2,1,15,"oce","2021-2022"
"Sum's Parents","fall_open",2,2,1,16,"oce","2021-2022"
"The Club","fall_open",16,16,1,1,"sam","2021-2022"
"EndGame","fall_open",12,12,1,2,"sam","2021-2022"
"KRÜ Esports","fall_open",9,9,1,3,"sam","2021-2022"
"Team Secret","fall_open",9,9,1,4,"sam","2021-2022"
"Backroom Enjoyers","fall_open",6,6,1,5,"sam","2021-2022"
"Empyre Esports","fall_open",6,6,1,6,"sam","2021-2022"
"Epiphany","fall_open",6,6,1,7,"sam","2021-2022"
"Only Outliers","fall_open",6,6,1,8,"sam","2021-2022"
"Atypical","fall_open",4,4,1,9,"sam","2021-2022"
"Lotus","fall_open",4,4,1,10,"sam","2021-2022"
"True Neutral","fall_open",4,4,1,11,"sam","2021-2022"
"Cadeau Labs Gaming","fall_open",3,3,1,12,"sam","2021-2022"
"Exeed Brazil","fall_open",3,3,1,13,"sam","2021-2022"
"Parabellum Esports","fall_open",3,3,1,14,"sam","2021-2022"
"Palito Bombon Helado","fall_open",2,2,1,16,"sam","2021-2022"
"Alpha United","fall_open",2,2,1,15,"sam","2021-2022"
"Team Falcons","fall_open",12,12,1,2,"mena","2021-2022"
"Team Falcons","fall_cup",16,28,2,1,"mena","2021-2022"
"KRN","fall_open",16,16,1,1,"mena","2021-2022"
"KRN","fall_cup",9,25,2,2,"mena","2021-2022"
"Geekay Esports","fall_open",9,9,1,3,"mena","2021-2022"
"Geekay Esports","fall_cup",9,18,2,3,"mena","2021-2022"
"Twisted Minds","fall_open",6,6,1,8,"mena","2021-2022"
"Twisted Minds","fall_cup",12,18,2,4,"mena","2021-2022"
"Veloce Esports","fall_open",9,9,1,4,"mena","2021-2022"
"Veloce Esports","fall_cup",6,15,2,5,"mena","2021-2022"
"Ketchup","fall_open",6,6,1,6,"mena","2021-2022"
"Ketchup","fall_cup",6,12,2,6,"mena","2021-2022"
"NOBLES","fall_open",6,6,1,7,"mena","2021-2022"
"NOBLES","fall_cup",6,12,2,7,"mena","2021-2022"
"ANKAA Esports","fall_open",6,6,1,5,"mena","2021-2022"
"ANKAA Esports","fall_cup",4,10,2,8,"mena","2021-2022"
"Arrows","fall_open",2,2,1,15,"mena","2021-2022"
"Arrows","fall_cup",6,8,2,9,"mena","2021-2022"
"Infinity","fall_open",4,4,1,9,"mena","2021-2022"
"Infinity","fall_cup",4,8,2,10,"mena","2021-2022"
"Outsiders","fall_open",4,4,1,11,"mena","2021-2022"
"Outsiders","fall_cup",3,7,2,11,"mena","2021-2022"
"T2K","fall_open",2,2,1,16,"mena","2021-2022"
"T2K","fall_cup",4,6,2,12,"mena","2021-2022"
"Vision Esports","fall_open",3,3,1,14,"mena","2021-2022"
"Vision Esports","fall_cup",3,6,2,13,"mena","2021-2022"
"Nightmare","fall_open",4,4,1,10,"mena","2021-2022"
"Nightmare","fall_cup",0,4,2,14,"mena","2021-2022"
"Atlantic","fall_open",3,3,1,12,"mena","2021-2022"
"Atlantic","fall_cup",0,3,2,15,"mena","2021-2022"
"Missing","fall_open",3,3,1,13,"mena","2021-2022"
"Missing","fall_cup",0,3,2,16,"mena","2021-2022"
"ULLA","fall_open",0,0,1,19,"mena","2021-2022"
"ULLA","fall_cup",3,3,2,17,"mena","2021-2022"
"MonsterS","fall_open",0,0,1,17,"mena","2021-2022"
"MonsterS","fall_cup",2,2,2,18,"mena","2021-2022"
"NextStart Gaming","fall_open",0,0,1,18,"mena","2021-2022"
"NextStart Gaming","fall_cup",2,2,2,19,"mena","2021-2022"
"James Cheese","fall_open",16,16,1,1,"apac","2021-2022"
"James Cheese","fall_cup",16,32,2,1,"apac","2021-2022"
"DeToNator","fall_open",12,12,1,2,"apac","2021-2022"
"DeToNator","fall_cup",9,21,2,2,"apac","2021-2022"
"Gaimin Gladiators","fall_open",9,9,1,3,"apac","2021-2022"
"Gaimin Gladiators","fall_cup",12,21,2,3,"apac","2021-2022"
"God Speed","fall_open",9,9,1,4,"apac","2021-2022"
"God Speed","fall_cup",6,15,2,4,"apac","2021-2022"
"Tough Love","fall_open",6,6,1,8,"apac","2021-2022"
"Tough Love","fall_cup",9,15,2,5,"apac","2021-2022"
"1620 Kings","fall_open",6,6,1,5,"apac","2021-2022"
"1620 Kings","fall_cup",6,12,2,6,"apac","2021-2022"
"Brokoli","fall_open",6,6,1,6,"apac","2021-2022"
"Brokoli","fall_cup",6,12,2,7,"apac","2021-2022"
"Nimmt55","fall_open",6,6,1,7,"apac","2021-2022"
"Nimmt55","fall_cup",6,12,2,8,"apac","2021-2022"
"C.E.R.T.","fall_open",4,4,1,9,"apac","2021-2022"
"C.E.R.T.","fall_cup",3,7,2,9,"apac","2021-2022"
"Cobweb City","fall_open",4,4,1,10,"apac","2021-2022"
"Cobweb City","fall_cup",3,7,2,10,"apac","2021-2022"
"GracesBlaze Refine","fall_open",4,4,1,11,"apac","2021-2022"
"GracesBlaze Refine","fall_cup",3,7,2,11,"apac","2021-2022"
"Asia Manji","fall_open",2,2,1,15,"apac","2021-2022"
"Asia Manji","fall_cup",4,6,2,12,"apac","2021-2022"
"Dark Rift Esports","fall_open",3,3,1,13,"apac","2021-2022"
"Dark Rift Esports","fall_cup",2,5,2,13,"apac","2021-2022"
"Sagetta","fall_open",0,0,1,18,"apac","2021-2022"
"Sagetta","fall_cup",4,4,2,14,"apac","2021-2022"
"Vainshoes","fall_open",0,0,1,19,"apac","2021-2022"
"Vainshoes","fall_cup",4,4,2,15,"apac","2021-2022"
"Team GanDerS","fall_open",2,2,1,16,"apac","2021-2022"
"Team GanDerS","fall_cup",0,2,2,19,"apac","2021-2022"
"Bluabslem","fall_open",0,0,1,17,"apac","2021-2022"
"Bluabslem","fall_cup",2,2,2,18,"apac","2021-2022"
"Blueabstik","fall_open",3,3,1,12,"apac","2021-2022"
"Blueabstik","fall_cup",0,3,2,16,"apac","2021-2022"
"Xayfhers","fall_open",3,3,1,14,"apac","2021-2022"
"Xayfhers","fall_cup",0,3,2,17,"apac","2021-2022"
"May contain nuts","fall_open",16,16,1,1,"ssa","2021-2022"
"Orlando Pirates Exdee","fall_open",12,12,1,2,"ssa","2021-2022"
"Millennial Times Gaming","fall_open",9,9,1,3,"ssa","2021-2022"
"Reformed","fall_open",9,9,1,4,"ssa","2021-2022"
"ATK","fall_open",6,6,1,5,"ssa","2021-2022"
"Aureon E-Sports","fall_open",6,6,1,6,"ssa","2021-2022"
"Team Espionage","fall_open",6,6,1,7,"ssa","2021-2022"
"White Rabbit Gaming","fall_open",6,6,1,8,"ssa","2021-2022"
"AIPX Gaming","fall_open",4,4,1,9,"ssa","2021-2022"
"The Bros","fall_open",4,4,1,11,"ssa","2021-2022"
"Astronic Esports","fall_open",3,3,1,12,"ssa","2021-2022"
"Fish","fall_open",4,4,1,10,"ssa","2021-2022"
"LUPO ROSSO","fall_open",2,2,1,15,"ssa","2021-2022"
"Team TKO","fall_open",2,2,1,16,"ssa","2021-2022"
"ICE Esports","fall_open",3,3,1,13,"ssa","2021-2022"
"Unity","fall_open",3,3,1,14,"ssa","2021-2022"
